INVS_YR,INVS_DSRT,INVS_AREA_NM,DNF_SRC_NM,QTMT_NM,IEM_NM,IEM_CNT,METER_PER_IEM_CNT,INVS_YMD,QTMT_CD,IEM_CD,ADM_ZN_NM,CST_NM,STR_LA,STR_LO,END_LA,END_LO
2022,4차,거제 두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,20220731,PL,PL_2_11,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,국내기인,플라스틱류,비닐봉지,80,4,20220731,PL,PL_2_31,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",78,3.9,20220731,PL,PL_2_32,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,국내기인,플라스틱류,필름형 풍선,0,0,20220731,PL,PL_2_33,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",124,6.2,20220731,PL,PL_2_25,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,국내기인,플라스틱류,그물,0,0,20220731,PL,PL_2_26,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,국내기인,플라스틱류,낚싯줄,1,0.05,20220731,PL,PL_2_27,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,거제 두모,외국기인,플라스틱류,그물,0,0,20220731,PL,PL_2_49,경남,남해안,34.980383,128.694822,34.981023,128.695034
2022,4차,고흥 신흥,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,20220731,PL,PL_2_11,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,국내기인,플라스틱류,비닐봉지,1,0.05,20220731,PL,PL_2_31,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,20220731,PL,PL_2_32,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,국내기인,플라스틱류,필름형 풍선,0,0,20220731,PL,PL_2_33,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",14,0.7,20220731,PL,PL_2_25,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,국내기인,플라스틱류,그물,0,0,20220731,PL,PL_2_26,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,국내기인,플라스틱류,낚싯줄,0,0,20220731,PL,PL_2_27,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 신흥,외국기인,플라스틱류,그물,0,0,20220731,PL,PL_2_49,전남,남해안,34.584309,127.145063,34.586191,127.145855
2022,4차,고흥 염포,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,20220731,PL,PL_2_11,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,국내기인,플라스틱류,비닐봉지,0,0,20220731,PL,PL_2_31,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,20220731,PL,PL_2_32,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,국내기인,플라스틱류,필름형 풍선,0,0,20220731,PL,PL_2_33,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",13,0.65,20220731,PL,PL_2_25,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,국내기인,플라스틱류,그물,0,0,20220731,PL,PL_2_26,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,국내기인,플라스틱류,낚싯줄,0,0,20220731,PL,PL_2_27,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,고흥 염포,외국기인,플라스틱류,그물,0,0,20220731,PL,PL_2_49,전남,남해안,34.432709,127.49205,34.43324,127.49123
2022,4차,남해 유구,국내기인,플라스틱류,"통발, 장어통발용 미끼통",1,0.05,20220731,PL,PL_2_11,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,국내기인,플라스틱류,비닐봉지,0,0,20220731,PL,PL_2_31,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,20220731,PL,PL_2_32,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,국내기인,플라스틱류,필름형 풍선,0,0,20220731,PL,PL_2_33,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",4,0.2,20220731,PL,PL_2_25,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,국내기인,플라스틱류,그물,1,0.05,20220731,PL,PL_2_26,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,국내기인,플라스틱류,낚싯줄,0,0,20220731,PL,PL_2_27,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,남해 유구,외국기인,플라스틱류,그물,0,0,20220731,PL,PL_2_49,경남,남해안,34.74927,127.85085,34.748614,127.852069
2022,4차,마산 봉암,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,20220731,PL,PL_2_11,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,국내기인,플라스틱류,비닐봉지,0,0,20220731,PL,PL_2_31,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",27,1.35,20220731,PL,PL_2_32,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,국내기인,플라스틱류,필름형 풍선,5,0.25,20220731,PL,PL_2_33,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",0,0,20220731,PL,PL_2_25,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,국내기인,플라스틱류,그물,0,0,20220731,PL,PL_2_26,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,국내기인,플라스틱류,낚싯줄,0,0,20220731,PL,PL_2_27,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,마산 봉암,외국기인,플라스틱류,그물,0,0,20220731,PL,PL_2_49,경남,남해안,35.2154,128.623975,35.215688,128.623716
2022,4차,부산 해양대,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,20220731,PL,PL_2_11,부산,남해안,35.075482,129.091375,35.074851,129.090912
2022,4차,부산 해양대,국내기인,플라스틱류,비닐봉지,1,0.05,20220731,PL,PL_2_31,부산,남해안,35.075482,129.091375,35.074851,129.090912
