INVS_YR,INVS_DSRT,INVS_AREA_NM,DNF_SRC_NM,QTMT_NM,IEM_NM,IEM_CNT,METER_PER_IEM_CNT,ADM_ZN_NM,QTMT_CD,IEM_CD,INVS_YMD,CST_NM,STR_LA,STR_LO,END_LA,END_LO
2008,2차,해남 묵동리,국내기인,플라스틱류,"비닐봉투, 비닐쇼핑백 등",0,0,전남,PL,PL_1_01,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,6개들이 포장고리,0,0,전남,PL,PL_1_07,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,장어/문어 통발,1,0.01,전남,PL,PL_1_15,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,어망(2.5~50cm),0,0,전남,PL,PL_1_16,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,어망 (50cm 이상),13,0.13,전남,PL,PL_1_17,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,밧줄/로프 (2.5~50cm),11,0.11,전남,PL,PL_1_20,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,밧줄/로프 (50cm 이상),14,0.14,전남,PL,PL_1_21,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,"끈(플라스틱, 노끈) (2.5~50cm)",7,0.07,전남,PL,PL_1_22,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,"끈(플라스틱, 노끈) (50cm 이상)",3,0.03,전남,PL,PL_1_23,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,낚시줄,0,0,전남,PL,PL_1_30,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,플라스틱류,"가짜미끼, 형광찌",0,0,전남,PL,PL_1_31,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,금속,"납 낚시추, 낚싯바늘",0,0,전남,ME,ME_1_06,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,금속,스프링통발(그물포함),0,0,전남,ME,ME_1_07,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,고무,풍선,0,0,전남,RB,RB_1_02,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,2차,해남 묵동리,국내기인,의료 및 개인위생,주사기,1,0.01,전남,MH,MH_1_02,20080404,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,"비닐봉투, 비닐쇼핑백 등",19,0.19,전남,PL,PL_1_01,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,6개들이 포장고리,0,0,전남,PL,PL_1_07,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,장어/문어 통발,19,0.19,전남,PL,PL_1_15,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,어망(2.5~50cm),0,0,전남,PL,PL_1_16,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,어망 (50cm 이상),3,0.03,전남,PL,PL_1_17,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,밧줄/로프 (2.5~50cm),3,0.03,전남,PL,PL_1_20,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,밧줄/로프 (50cm 이상),9,0.09,전남,PL,PL_1_21,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,"끈(플라스틱, 노끈) (2.5~50cm)",0,0,전남,PL,PL_1_22,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,"끈(플라스틱, 노끈) (50cm 이상)",3,0.03,전남,PL,PL_1_23,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,낚시줄,0,0,전남,PL,PL_1_30,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,플라스틱류,"가짜미끼, 형광찌",1,0.01,전남,PL,PL_1_31,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,금속,"납 낚시추, 낚싯바늘",0,0,전남,ME,ME_1_06,20080530,남해안,34.353639,126.611089,34.352882,126.610013
2008,3차,해남 묵동리,국내기인,금속,스프링통발(그물포함),14,0.14,전남,ME,ME_1_07,20080530,남해안,34.353639,126.611089,34.352882,126.610013
