id,invs_yr,invs_dsrt,invs_area_nm,dnf_src_nm,qtmt_nm,iem_nm,iem_cnt,meter_per_iem_cnt,adm_zn_nm,qtmt_cd,iem_cd,invs_ymd,cst_nm,str_la,str_lo,end_la,end_lo
1457,2022.0,1차,거제 두모,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1458,2022.0,1차,거제 두모,국내기인,플라스틱류,비닐봉지,9,0.45,경남,PL,PL_2_31,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1459,2022.0,1차,거제 두모,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",14,0.7,경남,PL,PL_2_32,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1460,2022.0,1차,거제 두모,국내기인,플라스틱류,필름형 풍선,12,0.6,경남,PL,PL_2_33,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1461,2022.0,1차,거제 두모,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",47,2.35,경남,PL,PL_2_25,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1462,2022.0,1차,거제 두모,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1463,2022.0,1차,거제 두모,국내기인,플라스틱류,낚싯줄,2,0.1,경남,PL,PL_2_27,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1464,2022.0,1차,거제 두모,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220131E7,남해안,34.980383,128.694822,34.981023,128.695034
1465,2022.0,1차,고흥 신흥,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,전남,PL,PL_2_11,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1466,2022.0,1차,고흥 신흥,국내기인,플라스틱류,비닐봉지,0,0,전남,PL,PL_2_31,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1467,2022.0,1차,고흥 신흥,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",12,0.6,전남,PL,PL_2_32,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1468,2022.0,1차,고흥 신흥,국내기인,플라스틱류,필름형 풍선,0,0,전남,PL,PL_2_33,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1469,2022.0,1차,고흥 신흥,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",5,0.25,전남,PL,PL_2_25,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1470,2022.0,1차,고흥 신흥,국내기인,플라스틱류,그물,7,0.35,전남,PL,PL_2_26,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1471,2022.0,1차,고흥 신흥,국내기인,플라스틱류,낚싯줄,0,0,전남,PL,PL_2_27,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1472,2022.0,1차,고흥 신흥,외국기인,플라스틱류,그물,0,0,전남,PL,PL_2_49,2.0220131E7,남해안,34.584309,127.145063,34.586191,127.145855
1473,2022.0,1차,고흥 염포,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,전남,PL,PL_2_11,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1474,2022.0,1차,고흥 염포,국내기인,플라스틱류,비닐봉지,0,0,전남,PL,PL_2_31,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1475,2022.0,1차,고흥 염포,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",3,0.15,전남,PL,PL_2_32,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1476,2022.0,1차,고흥 염포,국내기인,플라스틱류,필름형 풍선,0,0,전남,PL,PL_2_33,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1477,2022.0,1차,고흥 염포,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",4,0.2,전남,PL,PL_2_25,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1478,2022.0,1차,고흥 염포,국내기인,플라스틱류,그물,0,0,전남,PL,PL_2_26,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1479,2022.0,1차,고흥 염포,국내기인,플라스틱류,낚싯줄,0,0,전남,PL,PL_2_27,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1480,2022.0,1차,고흥 염포,외국기인,플라스틱류,그물,0,0,전남,PL,PL_2_49,2.0220131E7,남해안,34.432709,127.49205,34.43324,127.49123
1481,2022.0,1차,남해 유구,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1482,2022.0,1차,남해 유구,국내기인,플라스틱류,비닐봉지,0,0,경남,PL,PL_2_31,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1483,2022.0,1차,남해 유구,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,경남,PL,PL_2_32,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1484,2022.0,1차,남해 유구,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1485,2022.0,1차,남해 유구,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",7,0.35,경남,PL,PL_2_25,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1486,2022.0,1차,남해 유구,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1487,2022.0,1차,남해 유구,국내기인,플라스틱류,낚싯줄,0,0,경남,PL,PL_2_27,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1488,2022.0,1차,남해 유구,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220131E7,남해안,34.74927,127.85085,34.748614,127.852069
1489,2022.0,1차,마산 봉암,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1490,2022.0,1차,마산 봉암,국내기인,플라스틱류,비닐봉지,0,0,경남,PL,PL_2_31,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1491,2022.0,1차,마산 봉암,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",9,0.45,경남,PL,PL_2_32,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1492,2022.0,1차,마산 봉암,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1493,2022.0,1차,마산 봉암,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",0,0,경남,PL,PL_2_25,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1494,2022.0,1차,마산 봉암,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1495,2022.0,1차,마산 봉암,국내기인,플라스틱류,낚싯줄,0,0,경남,PL,PL_2_27,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1496,2022.0,1차,마산 봉암,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220131E7,남해안,35.2154,128.623975,35.215688,128.623716
1497,2022.0,1차,부산 해양대,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,부산,PL,PL_2_11,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1498,2022.0,1차,부산 해양대,국내기인,플라스틱류,비닐봉지,0,0,부산,PL,PL_2_31,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1499,2022.0,1차,부산 해양대,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",3,0.15,부산,PL,PL_2_32,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1500,2022.0,1차,부산 해양대,국내기인,플라스틱류,필름형 풍선,0,0,부산,PL,PL_2_33,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1501,2022.0,1차,부산 해양대,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",1,0.05,부산,PL,PL_2_25,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1502,2022.0,1차,부산 해양대,국내기인,플라스틱류,그물,0,0,부산,PL,PL_2_26,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1503,2022.0,1차,부산 해양대,국내기인,플라스틱류,낚싯줄,0,0,부산,PL,PL_2_27,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1504,2022.0,1차,부산 해양대,외국기인,플라스틱류,그물,0,0,부산,PL,PL_2_49,2.0220131E7,남해안,35.075482,129.091375,35.074851,129.090912
1505,2022.0,1차,사천 아두도,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,경남,PL,PL_2_11,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1506,2022.0,1차,사천 아두도,국내기인,플라스틱류,비닐봉지,0,0,경남,PL,PL_2_31,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1507,2022.0,1차,사천 아두도,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,경남,PL,PL_2_32,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1508,2022.0,1차,사천 아두도,국내기인,플라스틱류,필름형 풍선,0,0,경남,PL,PL_2_33,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1509,2022.0,1차,사천 아두도,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",6,0.3,경남,PL,PL_2_25,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1510,2022.0,1차,사천 아두도,국내기인,플라스틱류,그물,0,0,경남,PL,PL_2_26,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1511,2022.0,1차,사천 아두도,국내기인,플라스틱류,낚싯줄,0,0,경남,PL,PL_2_27,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1512,2022.0,1차,사천 아두도,외국기인,플라스틱류,그물,0,0,경남,PL,PL_2_49,2.0220131E7,남해안,34.901437,128.058667,34.901096,128.059412
1513,2022.0,1차,여수 반월,국내기인,플라스틱류,"통발, 장어통발용 미끼통",0,0,전남,PL,PL_2_11,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1514,2022.0,1차,여수 반월,국내기인,플라스틱류,비닐봉지,0,0,전남,PL,PL_2_31,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1515,2022.0,1차,여수 반월,국내기인,플라스틱류,"비닐포장(빙과류, 과자봉지 등)",0,0,전남,PL,PL_2_32,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1516,2022.0,1차,여수 반월,국내기인,플라스틱류,필름형 풍선,0,0,전남,PL,PL_2_33,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1517,2022.0,1차,여수 반월,국내기인,플라스틱류,"밧줄(꼬인 것, 어업용)",4,0.2,전남,PL,PL_2_25,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1518,2022.0,1차,여수 반월,국내기인,플라스틱류,그물,0,0,전남,PL,PL_2_26,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1519,2022.0,1차,여수 반월,국내기인,플라스틱류,낚싯줄,0,0,전남,PL,PL_2_27,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
1520,2022.0,1차,여수 반월,외국기인,플라스틱류,그물,0,0,전남,PL,PL_2_49,2.0220131E7,남해안,34.80759,127.556183,34.807212,127.556956
